objective,explanation,lecture_id,include,category
Understand health and its complexities,,Session Outline: HKS - Health and medicine,n,
Examine intersectionality / biosocial interactions that influence health outcomes,,Session Outline: HKS - Health and medicine,n,
Appraise dominant thought structures within medical discourse,,Session Outline: HKS - Health and medicine,n,
"Distinguish between the role of structure, culture, history, and demographic influences on health",,Session Outline: HKS - Health and medicine,n,
Evaluate sources of global health inequity using a social justice lens 4,,Session Outline: HKS - Health and medicine,n,
Describe the general features of eukaryotic cells; nucleus components and function,,Cells 1,y,Anatomy
"Describe the basic features and function of cell organelles including mitochondria, ribosomes, RER, SER, Golgi, lysosomes, secretory vesicles",,Cells 1,y,Anatomy
"Describe the structural components of the cell membrane (carbs, lipids, proteins) and their function; features of biological membranes",,Cells 1,y,Anatomy
"Describe the major components and function of the cytoskeleton including microtubules, actin, myosin, intermediate filaments",,Cells 1,y,Anatomy
"Describe the composition and function of some examples (centrioles, cilia, flagella, microvilli)",,Cells 1,y,Anatomy
"Identify cells & their organelles using light microscopy, electron microscopy 5",,Cells 1,y,Anatomy
Describe the general features of eukaryotic cells; nucleus components and function,,Cells 2,y,Anatomy
"Describe the basic features and function of cell organelles including mitochondria, ribosomes, RER, SER, Golgi, lysosomes, secretory vesicles",,Cells 2,y,Anatomy
"Describe the structural components of the cell membrane (carbs, lipids, proteins) and their function; features of biological membranes",,Cells 2,y,Anatomy
"Describe the major components and function of the cytoskeleton including microtubules, actin, myosin, intermediate filaments",,Cells 2,y,Anatomy
"Describe the composition and function of some examples (centrioles, cilia, flagella, microvilli)",,Cells 2,y,Anatomy
"Identify cells & their organelles using light microscopy, electron microscopy 5",,Cells 2,y,Anatomy
Understand the sequence of the mitotic cell cycle,,Cell cycle,y,Anatomy
Know the major drivers of the process – cyclin/CDK interactions,,Cell cycle,y,Anatomy
Understand how the cycle can be stopped - regulation of the cell cycle,,Cell cycle,y,Anatomy
Describe how the cycle is different when making gametes,,Cell cycle,y,Anatomy
Understand the difference in meiosis during spermatogenesis and oogenesis,,Cell cycle,y,Anatomy
Understand the complications in meiosis,,Cell cycle,y,Anatomy
Understand the two major ways cells can die – apoptosis and necrosis,,Cell cycle,y,Anatomy
Understand why cells die during development and in disease states,,Cell cycle,y,Anatomy
Describe how different molecules cross the plasma membrane,,Body fluids,y,Physiology
Explain the effects of varying tonicity on cells in the body,,Body fluids,y,Physiology
Give a basic account how various clinical conditions can affect fluid and electrolyte balance 7,,Body fluids,y,Physiology
Describe the key components of the Australian health system,,Session Outline: HKS - The National Health System,n,
Explain the sources of health funding of the Australian health system,,Session Outline: HKS - The National Health System,n,
Identify key components of the Australian health system,,Session Outline: HKS - The National Health System,n,
Discuss the importance of ‘systems thinking’ in health systems,,Session Outline: HKS - The National Health System,n,
Give examples to illustrate the role of adverse patient outcomes in the improvement of healthcare delivery,,Session Outline: HKS - The National Health System,n,
Analyze complex relationships within the national health systems,,Session Outline: HKS - The National Health System,n,
Describe the structure of DNA and its organisation in the cell,,Molecular biology of the cell 1 - transcription and translation,y,Biochemistry
Explain the role of RNA in expressing genetic information,,Molecular biology of the cell 1 - transcription and translation,y,Biochemistry
Explain the process of protein synthesis 8,,Molecular biology of the cell 1 - transcription and translation,y,Biochemistry
Describe the structure of DNA and its organisation in the cell,,Molecular biology of the cell 2 - DNA replication,y,Biochemistry
Explain the steps in the replication of DNA,,Molecular biology of the cell 2 - DNA replication,y,Biochemistry
Explain the need for a robust DNA repair system,,Molecular biology of the cell 2 - DNA replication,y,Biochemistry
Describe the structure and levels of protein organisation,,Cellular energetics - proteins and enzymes,y,Biochemistry
Explain the function of proteins in biological systems,,Cellular energetics - proteins and enzymes,y,Biochemistry
Describe enzymes and their role in biochemical reactions,,Cellular energetics - proteins and enzymes,y,Biochemistry
Explain the factors which govern biological reactions 9,,Cellular energetics - proteins and enzymes,y,Biochemistry
"Outline the process of catabolism of glucose, lipids and proteins ▪ ",,Fuel molecules and energetics,y,Biochemistry
Discuss how energy production is linked to the availability of oxygen ▪ ,,Fuel molecules and energetics,y,Biochemistry
Compare energy production from different fuel molecules (carbohydrates and lipids) ▪ ,,Fuel molecules and energetics,y,Biochemistry
Explain in outline what happens when the body has an excess of energy - how does the body make use of this energy? 10,,Fuel molecules and energetics,y,Biochemistry
Have a deeper understanding of the nature of ethics,,Session Outline: ETHICS - Introduction to ethics,n,
"Be familiar with the basic tenets of four important moral frameworks in biomedical ethics: consequentialism, deontology, communitarianism, and virtue ethics",,Session Outline: ETHICS - Introduction to ethics,n,
Explain the influence of key social factors on health and illness,,Session Outline: HKS - Health determinants,n,
Outline the wide range of factors interacting to influence health status,,Session Outline: HKS - Health determinants,n,
Describe the concepts of health inequality and inequity,,Session Outline: HKS - Health determinants,n,
Explain the links between the social determinants of health and health inequities,,Session Outline: HKS - Health determinants,n,
Explain the effects of the social determinants of health on clinical and public health practice 11,,Session Outline: HKS - Health determinants,n,
"Outline the specialised metabolic pathways occurring in the liver, adipose tissue, skeletal and heart muscle, brain and red blood cells",,Integrated metabolism,y,Biochemistry
"Discuss the interrelationship of carbohydrate, lipid and protein metabolism in the above tissues",,Integrated metabolism,y,Biochemistry
Integrate metabolism in the whole organism,,Integrated metabolism,y,Biochemistry
Discuss fundamental aspects of population genetics/genomics and diversity,,Population genetics,y,Biochemistry
"Describe genetic structure by allele, genotype frequencies, Hardy-Weinberg equilibrium",,Population genetics,y,Biochemistry
Describe diversity of traits and how genetic disorders may be more common in one population than another 12,,Population genetics,y,Biochemistry
Define what a karyotype is,,Chromosome disorders,y,Biochemistry
Describe the nomenclature used for chromosome analysis,,Chromosome disorders,y,Biochemistry
Identify and explain the different classes of chromosome abnormality,,Chromosome disorders,y,Biochemistry
Explain how chromosomal abnormalities occur and their impact on health and diseases 13,,Chromosome disorders,y,Biochemistry
Discuss the basic procedures for creating and cloning recombinant DNA,,Applications of gene technologies to medicine,y,Biochemistry
Explain the basic principles of polymerase chain reaction (PCR),,Applications of gene technologies to medicine,y,Biochemistry
Explain how DNA technology can be used to produce large quantities of therapeutics Part 2 Therapeutic Cloning:,,Applications of gene technologies to medicine,y,Biochemistry
Define the concept of therapeutic cloning,,Applications of gene technologies to medicine,y,Biochemistry
Describe the different approaches to therapeutic cloning Part 3 Gene Therapy & Gene Editing:,,Applications of gene technologies to medicine,y,Biochemistry
Explain the basic principle of gene therapy,,Applications of gene technologies to medicine,y,Biochemistry
Describe how CRISPR-Cas9 gene editing works,,Applications of gene technologies to medicine,y,Biochemistry
Explain how gene editing can be used in gene therapy 14,,Applications of gene technologies to medicine,y,Biochemistry
"Explain the role of the four principles of respect for autonomy, non-maleficence, beneficence, and distributive justice in shaping ethical reasoning in healthcare",,Session Outline: ETHICS - Introduction to biomedical ethics,n,
Appreciate the basic differences between ethics and the law,,Session Outline: ETHICS - Introduction to biomedical ethics,n,
Discuss terminology relating to Integrative Medicine (IM),,Session Outline: HEP - Introduction to integrative medicine,n,
Discuss relevance of IM to modern healthcare,,Session Outline: HEP - Introduction to integrative medicine,n,
Discuss community attitudes to and usage of complementary and alternative medicine (CAM),,Session Outline: HEP - Introduction to integrative medicine,n,
Discuss uptake of CAM among doctors in Australia,,Session Outline: HEP - Introduction to integrative medicine,n,
Discuss main modalities of CAM,,Session Outline: HEP - Introduction to integrative medicine,n,
Discuss main concerns with regard to CAM use,,Session Outline: HEP - Introduction to integrative medicine,n,
Discuss lessons gleaned from the CAM phenomenon,,Session Outline: HEP - Introduction to integrative medicine,n,
Discuss a few key ethical and clinical issues relating to CAM,,Session Outline: HEP - Introduction to integrative medicine,n,
Discuss where to access further information and training on CAM 15,,Session Outline: HEP - Introduction to integrative medicine,n,
Understand the factors associated with better health and self-care among medical students,,Session Outline: HEP - Behaviour change lifestyle and motivation,n,
Appreciate the importance of lifestyle factors in promoting longevity and the development and progression of chronic illness,,Session Outline: HEP - Behaviour change lifestyle and motivation,n,
Revise the basic elements of the ESSENCE model,,Session Outline: HEP - Behaviour change lifestyle and motivation,n,
